Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points
2021,SF1,2021SF1,T,Australia,Ukraine,12
2021,SF1,2021SF1,T,Australia,Malta,10
2021,SF1,2021SF1,T,Australia,Lithuania,8
2021,SF1,2021SF1,T,Australia,Russia,7
2021,SF1,2021SF1,T,Australia,Cyprus,6
2021,SF1,2021SF1,T,Australia,Croatia,5
2021,SF1,2021SF1,T,Australia,Israel,4
2021,SF1,2021SF1,T,Australia,Norway,3
2021,SF1,2021SF1,T,Australia,Ireland,2
2021,SF1,2021SF1,T,Australia,Azerbaijan,1
2021,SF1,2021SF1,J,Australia,Malta,12
2021,SF1,2021SF1,J,Australia,Cyprus,10
2021,SF1,2021SF1,J,Australia,Israel,8
2021,SF1,2021SF1,J,Australia,Russia,7
2021,SF1,2021SF1,J,Australia,Sweden,6
2021,SF1,2021SF1,J,Australia,Azerbaijan,5
2021,SF1,2021SF1,J,Australia,Ukraine,4
2021,SF1,2021SF1,J,Australia,Ireland,3
2021,SF1,2021SF1,J,Australia,Lithuania,2
2021,SF1,2021SF1,J,Australia,Norway,1
2021,SF1,2021SF1,T,Azerbaijan,Israel,12
2021,SF1,2021SF1,T,Azerbaijan,Norway,10
2021,SF1,2021SF1,T,Azerbaijan,Russia,8
2021,SF1,2021SF1,T,Azerbaijan,Ukraine,7
2021,SF1,2021SF1,T,Azerbaijan,Malta,6
2021,SF1,2021SF1,T,Azerbaijan,Romania,5
2021,SF1,2021SF1,T,Azerbaijan,Cyprus,4
2021,SF1,2021SF1,T,Azerbaijan,Lithuania,3
2021,SF1,2021SF1,T,Azerbaijan,Croatia,2
2021,SF1,2021SF1,T,Azerbaijan,Sweden,1
2021,SF1,2021SF1,J,Azerbaijan,Russia,12
2021,SF1,2021SF1,J,Azerbaijan,Malta,10
2021,SF1,2021SF1,J,Azerbaijan,Ukraine,8
2021,SF1,2021SF1,J,Azerbaijan,Romania,7
2021,SF1,2021SF1,J,Azerbaijan,Sweden,6
2021,SF1,2021SF1,J,Azerbaijan,Croatia,5
2021,SF1,2021SF1,J,Azerbaijan,Slovenia,4
2021,SF1,2021SF1,J,Azerbaijan,Ireland,3
2021,SF1,2021SF1,J,Azerbaijan,Belgium,2
2021,SF1,2021SF1,J,Azerbaijan,Israel,1
2021,SF1,2021SF1,T,Belgium,Malta,12
2021,SF1,2021SF1,T,Belgium,Ukraine,10
2021,SF1,2021SF1,T,Belgium,Lithuania,8
2021,SF1,2021SF1,T,Belgium,Sweden,7
2021,SF1,2021SF1,T,Belgium,Norway,6
2021,SF1,2021SF1,T,Belgium,Azerbaijan,5
2021,SF1,2021SF1,T,Belgium,Israel,4
2021,SF1,2021SF1,T,Belgium,Cyprus,3
2021,SF1,2021SF1,T,Belgium,Russia,2
2021,SF1,2021SF1,T,Belgium,Romania,1
2021,SF1,2021SF1,J,Belgium,Russia,12
2021,SF1,2021SF1,J,Belgium,Ukraine,10
2021,SF1,2021SF1,J,Belgium,Malta,8
2021,SF1,2021SF1,J,Belgium,Norway,7
2021,SF1,2021SF1,J,Belgium,Sweden,6
2021,SF1,2021SF1,J,Belgium,Romania,5
2021,SF1,2021SF1,J,Belgium,Israel,4
2021,SF1,2021SF1,J,Belgium,Ireland,3
2021,SF1,2021SF1,J,Belgium,Lithuania,2
2021,SF1,2021SF1,J,Belgium,Croatia,1
2021,SF1,2021SF1,T,Croatia,Ukraine,12
2021,SF1,2021SF1,T,Croatia,Russia,10
2021,SF1,2021SF1,T,Croatia,Azerbaijan,8
2021,SF1,2021SF1,T,Croatia,Malta,7
2021,SF1,2021SF1,T,Croatia,Cyprus,6
2021,SF1,2021SF1,T,Croatia,Slovenia,5
2021,SF1,2021SF1,T,Croatia,Israel,4
2021,SF1,2021SF1,T,Croatia,Lithuania,3
2021,SF1,2021SF1,T,Croatia,Norway,2
2021,SF1,2021SF1,T,Croatia,North Macedonia,1
