,Unnamed: 0.1,Unnamed: 0,Year,Stage,Rank,Country,Score,Edition
0,0,0,2015,Semi 1,1,Estonia,7923,2015 Semi 1
1,1,1,2015,Semi 1,2,Belgium,7324,2015 Semi 1
2,2,2,2015,Semi 1,3,Russia,6481,2015 Semi 1
3,3,3,2015,Semi 1,4,Georgia,5830,2015 Semi 1
4,4,4,2015,Semi 1,5,Albania,5034,2015 Semi 1
5,5,5,2015,Semi 1,6,Serbia,4121,2015 Semi 1
6,6,6,2015,Semi 1,7,Greece,3405,2015 Semi 1
7,7,7,2015,Semi 1,8,Belarus,3280,2015 Semi 1
8,8,8,2015,Semi 1,9,Romania,2248,2015 Semi 1
9,9,9,2015,Semi 1,10,Moldova,2217,2015 Semi 1
10,10,10,2015,Semi 1,11,Netherlands,2135,2015 Semi 1
11,11,11,2015,Semi 1,12,North Macedonia,1703,2015 Semi 1
12,12,12,2015,Semi 1,13,Armenia,1568,2015 Semi 1
13,13,13,2015,Semi 1,14,Hungary,1556,2015 Semi 1
14,14,14,2015,Semi 1,15,Denmark,1155,2015 Semi 1
15,15,15,2015,Semi 1,16,Finland,402,2015 Semi 1
16,16,16,2015,Semi 2,1,Sweden,6987,2015 Semi 2
17,17,17,2015,Semi 2,2,Latvia,5956,2015 Semi 2
18,18,18,2015,Semi 2,3,Norway,5831,2015 Semi 2
19,19,19,2015,Semi 2,4,Israel,5064,2015 Semi 2
20,20,20,2015,Semi 2,5,Slovenia,4657,2015 Semi 2
21,21,21,2015,Semi 2,6,Montenegro,3391,2015 Semi 2
22,22,22,2015,Semi 2,7,Azerbaijan,2860,2015 Semi 2
23,23,23,2015,Semi 2,8,Ireland,2830,2015 Semi 2
24,24,24,2015,Semi 2,9,Malta,2564,2015 Semi 2
25,25,25,2015,Semi 2,10,Czechia,2061,2015 Semi 2
26,26,26,2015,Semi 2,11,Iceland,1922,2015 Semi 2
27,27,27,2015,Semi 2,12,Lithuania,1874,2015 Semi 2
28,28,28,2015,Semi 2,13,Switzerland,1731,2015 Semi 2
29,29,29,2015,Semi 2,14,Portugal,1278,2015 Semi 2
30,30,30,2015,Semi 2,15,Poland,1063,2015 Semi 2
31,31,31,2015,Semi 2,16,Cyprus,988,2015 Semi 2
32,32,32,2015,Semi 2,17,San Marino,385,2015 Semi 2
33,33,33,2015,Final,1,Sweden,4838,2015 Final
34,34,34,2015,Final,2,Estonia,4450,2015 Final
35,35,35,2015,Final,3,Belgium,4283,2015 Final
36,36,36,2015,Final,4,Latvia,3790,2015 Final
37,37,37,2015,Final,5,Italy,3622,2015 Final
38,38,38,2015,Final,6,Russia,3433,2015 Final
39,39,39,2015,Final,7,Norway,2923,2015 Final
40,40,40,2015,Final,8,Georgia,2686,2015 Final
41,41,41,2015,Final,9,Australia,2424,2015 Final
