,Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points
0,1975,f,1975f,J,Belgium,France,2
1,1975,f,1975f,J,Belgium,Ireland,12
2,1975,f,1975f,J,Belgium,Israel,1
3,1975,f,1975f,J,Belgium,Italy,6
4,1975,f,1975f,J,Belgium,Malta,7
5,1975,f,1975f,J,Belgium,Spain,4
6,1975,f,1975f,J,Belgium,Switzerland,8
7,1975,f,1975f,J,Belgium,The Netherlands,3
8,1975,f,1975f,J,Belgium,United Kingdom,10
9,1975,f,1975f,J,Belgium,Yugoslavia,5
10,1975,f,1975f,J,Finland,Ireland,1
11,1975,f,1975f,J,Finland,Israel,3
12,1975,f,1975f,J,Finland,Italy,12
13,1975,f,1975f,J,Finland,Luxembourg,5
14,1975,f,1975f,J,Finland,Monaco,2
15,1975,f,1975f,J,Finland,Spain,8
16,1975,f,1975f,J,Finland,Sweden,6
17,1975,f,1975f,J,Finland,Switzerland,4
18,1975,f,1975f,J,Finland,The Netherlands,10
19,1975,f,1975f,J,Finland,United Kingdom,7
20,1975,f,1975f,J,France,Ireland,6
21,1975,f,1975f,J,France,Israel,1
22,1975,f,1975f,J,France,Italy,4
23,1975,f,1975f,J,France,Luxembourg,3
24,1975,f,1975f,J,France,Malta,8
25,1975,f,1975f,J,France,Portugal,2
26,1975,f,1975f,J,France,Sweden,7
27,1975,f,1975f,J,France,Switzerland,10
28,1975,f,1975f,J,France,The Netherlands,5
29,1975,f,1975f,J,France,United Kingdom,12
30,1975,f,1975f,J,Germany,Belgium,7
31,1975,f,1975f,J,Germany,Finland,12
32,1975,f,1975f,J,Germany,Israel,1
33,1975,f,1975f,J,Germany,Italy,4
34,1975,f,1975f,J,Germany,Monaco,3
35,1975,f,1975f,J,Germany,Spain,5
36,1975,f,1975f,J,Germany,Switzerland,6
37,1975,f,1975f,J,Germany,The Netherlands,8
38,1975,f,1975f,J,Germany,United Kingdom,10
39,1975,f,1975f,J,Germany,Yugoslavia,2
40,1975,f,1975f,J,Ireland,Finland,5
41,1975,f,1975f,J,Ireland,France,12
42,1975,f,1975f,J,Ireland,Israel,1
43,1975,f,1975f,J,Ireland,Italy,6
44,1975,f,1975f,J,Ireland,Luxembourg,10
45,1975,f,1975f,J,Ireland,Spain,7
46,1975,f,1975f,J,Ireland,Switzerland,2
47,1975,f,1975f,J,Ireland,The Netherlands,8
48,1975,f,1975f,J,Ireland,United Kingdom,3
49,1975,f,1975f,J,Ireland,Yugoslavia,4
50,1975,f,1975f,J,Israel,Finland,8
51,1975,f,1975f,J,Israel,France,7
52,1975,f,1975f,J,Israel,Italy,5
53,1975,f,1975f,J,Israel,Luxembourg,6
54,1975,f,1975f,J,Israel,Malta,1
55,1975,f,1975f,J,Israel,Monaco,2
56,1975,f,1975f,J,Israel,Spain,4
57,1975,f,1975f,J,Israel,Sweden,3
58,1975,f,1975f,J,Israel,The Netherlands,12
59,1975,f,1975f,J,Israel,United Kingdom,10
60,1975,f,1975f,J,Italy,France,8
61,1975,f,1975f,J,Italy,Ireland,4
62,1975,f,1975f,J,Italy,Israel,2
63,1975,f,1975f,J,Italy,Luxembourg,10
64,1975,f,1975f,J,Italy,Monaco,5
65,1975,f,1975f,J,Italy,Norway,7
66,1975,f,1975f,J,Italy,Spain,6
67,1975,f,1975f,J,Italy,Switzerland,12
68,1975,f,1975f,J,Italy,The Netherlands,1
69,1975,f,1975f,J,Italy,United Kingdom,3
70,1975,f,1975f,J,Luxembourg,Finland,6
71,1975,f,1975f,J,Luxembourg,Germany,8
72,1975,f,1975f,J,Luxembourg,Israel,1
73,1975,f,1975f,J,Luxembourg,Italy,3
74,1975,f,1975f,J,Luxembourg,Malta,5
75,1975,f,1975f,J,Luxembourg,Monaco,4
76,1975,f,1975f,J,Luxembourg,Sweden,7
77,1975,f,1975f,J,Luxembourg,Switzerland,2
78,1975,f,1975f,J,Luxembourg,The Netherlands,10
79,1975,f,1975f,J,Luxembourg,United Kingdom,12
80,1975,f,1975f,J,Malta,France,7
81,1975,f,1975f,J,Malta,Germany,3
82,1975,f,1975f,J,Malta,Ireland,4
83,1975,f,1975f,J,Malta,Italy,10
84,1975,f,1975f,J,Malta,Luxembourg,5
85,1975,f,1975f,J,Malta,Monaco,1
86,1975,f,1975f,J,Malta,Sweden,2
87,1975,f,1975f,J,Malta,Switzerland,6
88,1975,f,1975f,J,Malta,The Netherlands,12
89,1975,f,1975f,J,Malta,United Kingdom,8
90,1975,f,1975f,J,Monaco,Finland,8
91,1975,f,1975f,J,Monaco,France,7
92,1975,f,1975f,J,Monaco,Italy,1
93,1975,f,1975f,J,Monaco,Norway,2
94,1975,f,1975f,J,Monaco,Spain,4
95,1975,f,1975f,J,Monaco,Sweden,6
96,1975,f,1975f,J,Monaco,Switzerland,5
97,1975,f,1975f,J,Monaco,The Netherlands,10
98,1975,f,1975f,J,Monaco,Turkey,3
99,1975,f,1975f,J,Monaco,United Kingdom,12
100,1975,f,1975f,J,Norway,Finland,10
101,1975,f,1975f,J,Norway,Ireland,4
102,1975,f,1975f,J,Norway,Israel,5
103,1975,f,1975f,J,Norway,Italy,6
104,1975,f,1975f,J,Norway,Malta,2
105,1975,f,1975f,J,Norway,Spain,3
106,1975,f,1975f,J,Norway,Sweden,8
107,1975,f,1975f,J,Norway,Switzerland,1
108,1975,f,1975f,J,Norway,The Netherlands,12
109,1975,f,1975f,J,Norway,United Kingdom,7
110,1975,f,1975f,J,Portugal,France,12
111,1975,f,1975f,J,Portugal,Ireland,4
112,1975,f,1975f,J,Portugal,Italy,10
113,1975,f,1975f,J,Portugal,Luxembourg,8
114,1975,f,1975f,J,Portugal,Monaco,3
115,1975,f,1975f,J,Portugal,Sweden,6
116,1975,f,1975f,J,Portugal,Switzerland,2
117,1975,f,1975f,J,Portugal,The Netherlands,7
118,1975,f,1975f,J,Portugal,United Kingdom,5
119,1975,f,1975f,J,Portugal,Yugoslavia,1
120,1975,f,1975f,J,Spain,Finland,1
121,1975,f,1975f,J,Spain,France,8
122,1975,f,1975f,J,Spain,Germany,4
123,1975,f,1975f,J,Spain,Ireland,3
124,1975,f,1975f,J,Spain,Italy,7
125,1975,f,1975f,J,Spain,Luxembourg,6
126,1975,f,1975f,J,Spain,Portugal,2
127,1975,f,1975f,J,Spain,Sweden,5
128,1975,f,1975f,J,Spain,The Netherlands,12
129,1975,f,1975f,J,Spain,United Kingdom,10
130,1975,f,1975f,J,Sweden,Belgium,2
131,1975,f,1975f,J,Sweden,Finland,3
132,1975,f,1975f,J,Sweden,France,8
133,1975,f,1975f,J,Sweden,Ireland,10
134,1975,f,1975f,J,Sweden,Israel,6
135,1975,f,1975f,J,Sweden,Italy,1
136,1975,f,1975f,J,Sweden,Luxembourg,4
137,1975,f,1975f,J,Sweden,The Netherlands,12
138,1975,f,1975f,J,Sweden,United Kingdom,5
139,1975,f,1975f,J,Sweden,Yugoslavia,7
140,1975,f,1975f,J,Switzerland,Finland,12
141,1975,f,1975f,J,Switzerland,France,3
142,1975,f,1975f,J,Switzerland,Ireland,7
143,1975,f,1975f,J,Switzerland,Israel,2
144,1975,f,1975f,J,Switzerland,Italy,10
145,1975,f,1975f,J,Switzerland,Malta,4
146,1975,f,1975f,J,Switzerland,Spain,5
147,1975,f,1975f,J,Switzerland,Sweden,1
148,1975,f,1975f,J,Switzerland,The Netherlands,6
149,1975,f,1975f,J,Switzerland,United Kingdom,8
150,1975,f,1975f,J,The Netherlands,Belgium,5
151,1975,f,1975f,J,The Netherlands,France,8
152,1975,f,1975f,J,The Netherlands,Ireland,6
153,1975,f,1975f,J,The Netherlands,Israel,10
154,1975,f,1975f,J,The Netherlands,Luxembourg,12
155,1975,f,1975f,J,The Netherlands,Malta,1
156,1975,f,1975f,J,The Netherlands,Norway,2
157,1975,f,1975f,J,The Netherlands,Switzerland,7
