From country,Voting Type,Points,To country,Year,Edition
Australia,Jury,12,Malta,2021,sf1
Australia,Jury,10,Cyprus,2021,sf1
Australia,Jury,8,Israel,2021,sf1
Australia,Jury,7,Russia,2021,sf1
Australia,Jury,6,Sweden,2021,sf1
Australia,Jury,5,Azerbaijan,2021,sf1
Australia,Jury,4,Ukraine,2021,sf1
Australia,Jury,3,Ireland,2021,sf1
Australia,Jury,2,Lithuania,2021,sf1
Australia,Jury,1,Norway,2021,sf1
Australia,Televoter,12,Ukraine,2021,sf1
Australia,Televoter,10,Malta,2021,sf1
Australia,Televoter,8,Lithuania,2021,sf1
Australia,Televoter,7,Russia,2021,sf1
Australia,Televoter,6,Cyprus,2021,sf1
Australia,Televoter,5,Croatia,2021,sf1
Australia,Televoter,4,Israel,2021,sf1
Australia,Televoter,3,Norway,2021,sf1
Australia,Televoter,2,Ireland,2021,sf1
Australia,Televoter,1,Azerbaijan,2021,sf1
Azerbaijan,Jury,12,Russia,2021,sf1
Azerbaijan,Jury,10,Malta,2021,sf1
Azerbaijan,Jury,8,Ukraine,2021,sf1
Azerbaijan,Jury,7,Romania,2021,sf1
Azerbaijan,Jury,6,Sweden,2021,sf1
Azerbaijan,Jury,5,Croatia,2021,sf1
Azerbaijan,Jury,4,Slovenia,2021,sf1
Azerbaijan,Jury,3,Ireland,2021,sf1
Azerbaijan,Jury,2,Belgium,2021,sf1
Azerbaijan,Jury,1,Israel,2021,sf1
Azerbaijan,Televoter,12,Israel,2021,sf1
Azerbaijan,Televoter,10,Norway,2021,sf1
Azerbaijan,Televoter,8,Russia,2021,sf1
Azerbaijan,Televoter,7,Ukraine,2021,sf1
Azerbaijan,Televoter,6,Malta,2021,sf1
Azerbaijan,Televoter,5,Romania,2021,sf1
Azerbaijan,Televoter,4,Cyprus,2021,sf1
Azerbaijan,Televoter,3,Lithuania,2021,sf1
Azerbaijan,Televoter,2,Croatia,2021,sf1
Azerbaijan,Televoter,1,Sweden,2021,sf1
Belgium,Jury,12,Russia,2021,sf1
Belgium,Jury,10,Ukraine,2021,sf1
Belgium,Jury,8,Malta,2021,sf1
Belgium,Jury,7,Norway,2021,sf1
Belgium,Jury,6,Sweden,2021,sf1
Belgium,Jury,5,Romania,2021,sf1
Belgium,Jury,4,Israel,2021,sf1
