,Country,Score_From_Others,Score_From_Country,Relationship_Score,To Country
0,The Netherlands,19.45926082541583,30.297239666410512,24.280895555123507,Belgium
1,Australia,13.975723859978828,32.756154175764436,21.39605023071726,Belgium
2,Poland,14.107221466038451,18.59588284159614,16.196797140265144,Belgium
3,Ireland,12.34704232642851,20.19642845916529,15.791331705337557,Belgium
4,France,14.212301508301499,16.437860751280926,15.284627347393194,Belgium
5,Ukraine,9.338204453678934,20.283912967591036,13.762824071097999,Belgium
6,Israel,9.05563252021864,20.272478566123137,13.549174003193702,Belgium
7,Sweden,7.587018098416589,22.4411245732362,13.048418229270714,Belgium
8,Portugal,12.476820176296032,13.002637494203473,12.73701573496481,Belgium
9,United Kingdom,10.143198881308033,14.960749715490799,12.318679303305844,Belgium
10,Russia,8.632422982074134,16.87070280369879,12.06793447970248,Belgium
11,Switzerland,7.602259399689722,18.08566594362177,11.72569502927425,Belgium
12,Czechia,5.375278407684165,25.34864712083708,11.672876060878952,Belgium
13,Turkey,8.210403275814135,16.41957356664489,11.610827731004038,Belgium
14,Spain,10.770613245100282,12.45816814833923,11.58370022351187,Belgium
15,Latvia,9.487825390099639,13.559667769853826,11.342475926716128,Belgium
16,Armenia,4.216138656286511,29.28317183101921,11.111341626259195,Belgium
17,Germany,9.403628065643098,13.112657103577229,11.10434826337652,Belgium
18,Norway,8.54875278694827,14.187997900438218,11.013159700675706,Belgium
19,Greece,7.215633921399587,16.614920567398897,10.949300637368724,Belgium
20,Denmark,9.380324097819463,12.456308187724336,10.809449933422906,Belgium
21,Italy,7.696213075462459,15.032570669582475,10.756108355025718,Belgium
22,Iceland,7.359624888948371,14.646682870299228,10.382393355714662,Belgium
23,Austria,6.753508168820788,15.481312219979467,10.225124377810591,Belgium
24,Bulgaria,5.016926513838554,20.426057949199826,10.123044586414869,Belgium
25,Estonia,8.897879232192976,11.275194137108443,10.01625258025781,Belgium
26,Hungary,8.75659567074891,11.114780548999992,9.86547714186686,Belgium
27,Lithuania,10.550739200312831,9.057123159316617,9.775445992846722,Belgium
28,Romania,5.421614508628364,14.558614952545177,8.884323162304081,Belgium
29,Cyprus,6.911238984067089,11.217691534651477,8.805006930464204,Belgium
30,Serbia,8.317766166719343,8.549831191538455,8.433000451567656,Belgium
31,Finland,9.167430452567018,7.373299278742883,8.22156970072248,Belgium
32,Luxembourg,7.568165743715345,8.220210581853243,7.887453082694571,Belgium
33,Yugoslavia,6.496141119052944,9.135198448668202,7.703475726780878,Belgium
34,San Marino,7.459322238045368,6.469373685226157,6.94673613983092,Belgium
35,Georgia,4.753009238125339,9.338204453678934,6.662174722704227,Belgium
36,Moldova,3.861820005976838,9.832305870269225,6.162028522709806,Belgium
37,Monaco,6.486367163517711,5.733630301529776,6.098395798535291,Belgium
38,Malta,2.8380621538932544,12.069784817875329,5.8527599897183,Belgium
39,Albania,2.1972245773362196,15.106740218629735,5.761328049313525,Belgium
40,Slovenia,7.208730677823431,4.255507458874901,5.538664745992299,Belgium
41,Azerbaijan,2.0794415416798357,9.744211678579417,4.501390735690453,Belgium
42,Bosnia & Herzegovina,2.5584278811044956,4.805820451882288,3.506471878637821,Belgium
43,Croatia,2.033231729642506,4.9581233520983785,3.1750612149953716,Belgium
44,Belarus,5.8377304471659395,1.297273432703542,2.7519325239534744,Belgium
45,North Macedonia,5.421614508628364,0.0,0.0,Belgium
46,Montenegro,4.658574619992943,0.0,0.0,Belgium
47,0,0.0,5.493061443340549,0.0,Belgium
48,Estonia,21.072024246418106,45.84342126151598,31.080760678616347,Finland
49,Sweden,14.746598557485767,31.359959724133628,21.504714293166526,Finland
50,Iceland,14.109723971681174,27.819382080224845,19.812213460759658,Finland
51,Australia,5.633032693519351,33.40479089211621,13.717517239481351,Finland
52,Norway,10.151643934501072,18.38455707753606,13.661386362469136,Finland
53,Israel,7.898170570315836,23.492160178602916,13.621493609578472,Finland
54,Switzerland,6.169574577290453,20.347223687404846,11.2041828787402,Finland
55,Ireland,7.211546845524616,16.546093987559985,10.923503645888623,Finland
56,Italy,5.388873886242169,20.564556675988822,10.527098482173672,Finland
57,Bulgaria,4.669102226839467,19.351002267662995,9.505356793909467,Finland
58,Serbia,5.884384126540339,14.534713025615376,9.248126005399701,Finland
59,Denmark,6.373809963902969,12.476820176296032,8.917672384512745,Finland
60,Greece,7.440305609717816,10.230934085825304,8.724750785633892,Finland
61,Russia,3.419932476615382,21.756132457174253,8.625804539626216,Finland
62,Ukraine,4.743912695049819,15.131946261926979,8.472581187145217,Finland
63,The Netherlands,4.807311090980266,13.049151377043556,7.920311240269659,Finland
64,United Kingdom,5.751298334762287,10.74628604483875,7.861621781449442,Finland
65,Czechia,2.6735676964455033,22.12977129596888,7.6919075440770435,Finland
66,Poland,6.293136709082539,8.872212509353972,7.472218294013953,Finland
67,Serbia & Montenegro,4.852030263919617,10.986122886681098,7.301027374919,Finland
68,France,4.078193364649621,12.98509563751349,7.277068837674154,Finland
69,Latvia,5.278114659230517,9.977868736307531,7.257019721964565,Finland
70,Cyprus,3.8028886915434565,13.589443885302556,7.188820659592327,Finland
71,Belgium,3.5263605246161616,14.19833740824404,7.07590676532787,Finland
72,Germany,6.518424000048056,7.657664583800072,7.065118867178414,Finland
73,Austria,3.848338091413113,12.218083203975747,6.857063146706077,Finland
74,Lithuania,4.669101429319303,9.135198448668202,6.530939299502958,Finland
75,Hungary,1.5350567286626973,24.153273116096138,6.08905940323226,Finland
76,Yugoslavia,4.70240715534615,7.105154348964158,5.780253337908977,Finland
77,Luxembourg,3.3110725128754637,9.894697922601125,5.723815363438145,Finland
78,San Marino,4.119796082505411,7.855668046346047,5.688914698147563,Finland
79,Turkey,4.425954259193776,6.971962601163004,5.554960627183339,Finland
80,Bosnia & Herzegovina,2.8142706692149453,10.759233728431438,5.502671706103568,Finland
81,Spain,3.869055243385538,7.791057382508094,5.490358040903211,Finland
82,Monaco,4.864775372638283,6.091982195375387,5.443907140520775,Finland
83,Croatia,2.833213344056216,10.25190433274408,5.389418536124121,Finland
84,Malta,3.3489746814957657,8.6718565813405,5.3890470523527405,Finland
85,Slovenia,2.9574279703890998,8.810123576521091,5.104439821154514,Finland
86,Romania,4.255507458874901,5.398138128471807,4.792892349067396,Finland
87,Portugal,2.2359586469675654,9.84409665285742,4.691587474676457,Finland
88,Moldova,2.4849066497880004,8.549831191538455,4.609287622010452,Finland
89,Albania,1.8072048362094548,7.43347534567495,3.6652165822155065,Finland
90,Belarus,2.1972245773362196,4.5404570144623975,3.15854456110966,Finland
91,Azerbaijan,1.2792139405522478,7.105154348964158,3.014798914184888,Finland
92,North Macedonia,3.045066149556067,2.8142706692149453,2.927394806054511,Finland
93,Georgia,0.511685576220899,6.042367587674604,1.7583493227563638,Finland
94,0,0.0,0.0,0.0,Finland
95,0,0.0,0.0,0.0,Finland
96,0,0.0,0.0,0.0,Finland
97,0,0.0,0.0,0.0,Finland
98,0,0.0,0.0,0.0,Finland
99,0,0.0,0.0,0.0,Finland
100,0,0.0,0.0,0.0,Finland
101,0,0.0,0.0,0.0,Finland
102,0,0.0,0.0,0.0,Finland
103,0,0.0,0.0,0.0,Finland
104,0,0.0,0.0,0.0,Finland
105,0,0.0,1.6479184330021646,0.0,Finland
106,0,0.0,6.412373393653842,0.0,Finland
107,0,0.0,0.0,0.0,Finland
108,Armenia,19.22328180752915,42.53541017790381,28.594932709287647,France
109,Israel,15.761219532430166,29.07769652918672,21.40794148193363,France
110,Portugal,13.728687974215086,31.630385311708597,20.838514593143227,France
111,Belgium,16.437860751280926,19.448412590307317,17.879885290262084,France
112,Italy,15.598594888312645,20.407184289972932,17.841619897039223,France
113,The Netherlands,14.696736485217432,19.662131409981022,16.999093036694862,France
114,Switzerland,16.368820276948757,15.092720867031066,15.717825401835514,France
115,Serbia,9.426801655615256,24.3670188958846,15.155957708773576,France
116,Greece,15.761219532430166,14.11157385347637,14.913604978433035,France
117,Australia,10.71146981451407,20.107738206904905,14.675947357544356,France
118,Spain,13.425654569744388,13.726613188705425,13.575299889286299,France
119,Ukraine,10.63269631365659,16.685154215276494,13.319466119839868,France
