Country,Year,Stage,Edition,Odd
Sweden,2015,f,2015f,1.0
Russia,2015,f,2015f,0.9882133995037221
Italy,2015,f,2015f,0.9801488833746899
Belgium,2015,f,2015f,0.9503722084367245
Australia,2015,f,2015f,0.9454094292803971
Estonia,2015,f,2015f,0.8715880893300249
Serbia,2015,f,2015f,0.8064516129032259
Norway,2015,f,2015f,0.7661290322580645
Latvia,2015,f,2015f,0.718982630272953
Israel,2015,f,2015f,0.6674937965260546
Azerbaijan,2015,f,2015f,0.6693548387096775
Spain,2015,f,2015f,0.6339950372208436
Slovenia,2015,f,2015f,0.5825062034739454
Georgia,2015,f,2015f,0.36476426799007455
United Kingdom,2015,f,2015f,0.29714640198511166
Greece,2015,f,2015f,0.2803970223325063
Romania,2015,f,2015f,0.2667493796526056
Armenia,2015,f,2015f,0.2431761786600497
Albania,2015,f,2015f,0.11724565756823824
Cyprus,2015,f,2015f,0.1923076923076923
Hungary,2015,f,2015f,0.22146401985111674
France,2015,f,2015f,0.21029776674937972
Lithuania,2015,f,2015f,0.17307692307692313
Poland,2015,f,2015f,0.017369727047146566
Austria,2015,f,2015f,0.08933002481389585
Montenegro,2015,f,2015f,0.08933002481389585
Germany,2015,f,2015f,0.0
Russia,2015,Sf1,2015sf1,1.0
Estonia,2015,Sf1,2015sf1,0.9907407407407407
Romania,2015,Sf1,2015sf1,0.9444444444444445
Georgia,2015,Sf1,2015sf1,0.9398148148148149
Greece,2015,Sf1,2015sf1,0.9398148148148149
Armenia,2015,Sf1,2015sf1,0.875
Belgium,2015,Sf1,2015sf1,0.8703703703703703
Albania,2015,Sf1,2015sf1,0.8101851851851852
Belarus,2015,Sf1,2015sf1,0.7268518518518517
Hungary,2015,Sf1,2015sf1,0.6759259259259259
Finland,2015,Sf1,2015sf1,0.6435185185185185
Denmark,2015,Sf1,2015sf1,0.6018518518518517
Serbia,2015,Sf1,2015sf1,0.4629629629629629
FYR Macedonia,2015,Sf1,2015sf1,0.3333333333333331
Moldova,2015,Sf1,2015sf1,0.18518518518518515
Netherlands,2015,Sf1,2015sf1,0.0
Sweden,2015,Sf2,2015sf2,1.0
Norway,2015,Sf2,2015sf2,0.9921259842519685
Azerbaijan,2015,Sf2,2015sf2,0.9874015748031496
Slovenia,2015,Sf2,2015sf2,0.9874015748031496
Latvia,2015,Sf2,2015sf2,0.9637795275590552
Israel,2015,Sf2,2015sf2,0.9653543307086614
Cyprus,2015,Sf2,2015sf2,0.9559055118110236
Lithuania,2015,Sf2,2015sf2,0.9464566929133859
Iceland,2015,Sf2,2015sf2,0.9307086614173229
Poland,2015,Sf2,2015sf2,0.9196850393700787
Malta,2015,Sf2,2015sf2,0.8551181102362205
Montenegro,2015,Sf2,2015sf2,0.8551181102362205
Switzerland,2015,Sf2,2015sf2,0.7874015748031497
Czechia,2015,Sf2,2015sf2,0.7889763779527559
Ireland,2015,Sf2,2015sf2,0.7543307086614174
Portugal,2015,Sf2,2015sf2,0.12755905511811028
San Marino,2015,Sf2,2015sf2,0.0
Russia,2016,f,2016f,1.0
Australia,2016,f,2016f,0.9931088002483316
Ukraine,2016,f,2016f,0.960887785193233
Sweden,2016,f,2016f,0.9363650473381966
France,2016,f,2016f,0.9225516063945368
