Year,Stage,Rank,Country,Score,Edition
2015,sf1,1.0,Russia,182.0,2015sf1
2015,sf1,2.0,Belgium,149.0,2015sf1
2015,sf1,3.0,Estonia,105.0,2015sf1
2015,sf1,4.0,Georgia,98.0,2015sf1
2015,sf1,5.0,Romania,89.0,2015sf1
2015,sf1,6.0,Greece,81.0,2015sf1
2015,sf1,7.0,Armenia,77.0,2015sf1
2015,sf1,8.0,Hungary,67.0,2015sf1
2015,sf1,9.0,Serbia,63.0,2015sf1
2015,sf1,10.0,Albania,62.0,2015sf1
2015,sf1,11.0,Moldova,41.0,2015sf1
2015,sf1,12.0,Belarus,39.0,2015sf1
2015,sf1,13.0,Denmark,33.0,2015sf1
2015,sf1,14.0,The Netherlands,33.0,2015sf1
2015,sf1,15.0,North Macedonia,28.0,2015sf1
2015,sf1,16.0,Finland,13.0,2015sf1
2015,sf2,1.0,Sweden,217.0,2015sf2
2015,sf2,2.0,Latvia,155.0,2015sf2
2015,sf2,3.0,Israel,151.0,2015sf2
2015,sf2,4.0,Norway,123.0,2015sf2
2015,sf2,5.0,Slovenia,92.0,2015sf2
2015,sf2,6.0,Cyprus,87.0,2015sf2
2015,sf2,7.0,Lithuania,67.0,2015sf2
2015,sf2,8.0,Poland,57.0,2015sf2
2015,sf2,9.0,Montenegro,57.0,2015sf2
2015,sf2,10.0,Azerbaijan,53.0,2015sf2
2015,sf2,11.0,Malta,43.0,2015sf2
2015,sf2,12.0,Ireland,35.0,2015sf2
2015,sf2,13.0,Czechia,33.0,2015sf2
2015,sf2,14.0,Portugal,19.0,2015sf2
2015,sf2,15.0,Iceland,14.0,2015sf2
2015,sf2,16.0,San Marino,11.0,2015sf2
2015,sf2,17.0,Switzerland,4.0,2015sf2
2015,f,1.0,Sweden,365.0,2015f
2015,f,2.0,Russia,303.0,2015f
2015,f,3.0,Italy,292.0,2015f
2015,f,4.0,Belgium,217.0,2015f
2015,f,5.0,Australia,196.0,2015f
2015,f,6.0,Latvia,186.0,2015f
2015,f,7.0,Estonia,106.0,2015f
2015,f,8.0,Norway,102.0,2015f
2015,f,9.0,Israel,97.0,2015f
2015,f,10.0,Serbia,53.0,2015f
2015,f,11.0,Georgia,51.0,2015f
2015,f,12.0,Azerbaijan,49.0,2015f
2015,f,13.0,Montenegro,44.0,2015f
2015,f,14.0,Slovenia,39.0,2015f
2015,f,15.0,Romania,35.0,2015f
2015,f,16.0,Armenia,34.0,2015f
2015,f,17.0,Albania,34.0,2015f
2015,f,18.0,Lithuania,30.0,2015f
2015,f,19.0,Greece,23.0,2015f
2015,f,20.0,Hungary,19.0,2015f
2015,f,21.0,Spain,15.0,2015f
2015,f,22.0,Cyprus,11.0,2015f
2015,f,23.0,Poland,10.0,2015f
2015,f,24.0,United Kingdom,5.0,2015f
2015,f,25.0,France,4.0,2015f
2015,f,26.0,Austria,0.0,2015f
2015,f,26.0,Germany,0.0,2015f
2016,sf1,1.0,Russia,342.0,2016sf1
2016,sf1,2.0,Armenia,243.0,2016sf1
2016,sf1,3.0,Malta,209.0,2016sf1
2016,sf1,4.0,Hungary,197.0,2016sf1
2016,sf1,5.0,The Netherlands,197.0,2016sf1
2016,sf1,6.0,Azerbaijan,185.0,2016sf1
2016,sf1,7.0,Austria,170.0,2016sf1
2016,sf1,8.0,Cyprus,164.0,2016sf1
2016,sf1,9.0,Czechia,161.0,2016sf1
2016,sf1,10.0,Croatia,133.0,2016sf1
2016,sf1,11.0,Bosnia and Herzegovina,104.0,2016sf1
2016,sf1,12.0,San Marino,68.0,2016sf1
2016,sf1,13.0,Montenegro,60.0,2016sf1
2016,sf1,14.0,Iceland,51.0,2016sf1
2016,sf1,15.0,Finland,51.0,2016sf1
2016,sf1,16.0,Greece,44.0,2016sf1
2016,sf1,17.0,Moldova,33.0,2016sf1
2016,sf1,18.0,Estonia,24.0,2016sf1
2016,sf2,1.0,Australia,330.0,2016sf2
2016,sf2,2.0,Ukraine,287.0,2016sf2
2016,sf2,3.0,Belgium,274.0,2016sf2
2016,sf2,4.0,Lithuania,222.0,2016sf2
2016,sf2,5.0,Bulgaria,220.0,2016sf2
2016,sf2,6.0,Poland,151.0,2016sf2
2016,sf2,7.0,Israel,147.0,2016sf2
2016,sf2,8.0,Latvia,132.0,2016sf2
2016,sf2,9.0,Georgia,123.0,2016sf2
2016,sf2,10.0,Serbia,105.0,2016sf2
2016,sf2,11.0,North Macedonia,88.0,2016sf2
2016,sf2,12.0,Belarus,84.0,2016sf2
2016,sf2,13.0,Norway,63.0,2016sf2
2016,sf2,14.0,Slovenia,57.0,2016sf2
2016,sf2,15.0,Ireland,46.0,2016sf2
2016,sf2,16.0,Albania,45.0,2016sf2
2016,sf2,17.0,Denmark,34.0,2016sf2
2016,sf2,18.0,Switzerland,28.0,2016sf2
2016,f,1.0,Ukraine,534.0,2016f
2016,f,2.0,Australia,511.0,2016f
2016,f,3.0,Russia,491.0,2016f
2016,f,4.0,Bulgaria,307.0,2016f
2016,f,5.0,Sweden,261.0,2016f
2016,f,6.0,France,257.0,2016f
2016,f,7.0,Armenia,249.0,2016f
2016,f,8.0,Poland,229.0,2016f
2016,f,9.0,Lithuania,200.0,2016f
2016,f,10.0,Belgium,181.0,2016f
2016,f,11.0,The Netherlands,153.0,2016f
2016,f,12.0,Malta,153.0,2016f
2016,f,13.0,Austria,151.0,2016f
2016,f,14.0,Israel,135.0,2016f
2016,f,15.0,Latvia,132.0,2016f
2016,f,16.0,Italy,124.0,2016f
2016,f,17.0,Azerbaijan,117.0,2016f
2016,f,18.0,Serbia,115.0,2016f
2016,f,19.0,Hungary,108.0,2016f
2016,f,20.0,Georgia,104.0,2016f
2016,f,21.0,Cyprus,96.0,2016f
2016,f,22.0,Spain,77.0,2016f
2016,f,23.0,Croatia,73.0,2016f
2016,f,24.0,United Kingdom,62.0,2016f
2016,f,25.0,Czechia,41.0,2016f
2016,f,26.0,Germany,11.0,2016f
2017,sf1,1.0,Portugal,370.0,2017sf1
2017,sf1,2.0,Moldova,291.0,2017sf1
2017,sf1,3.0,Sweden,227.0,2017sf1
2017,sf1,4.0,Belgium,165.0,2017sf1
2017,sf1,5.0,Cyprus,164.0,2017sf1
2017,sf1,6.0,Australia,160.0,2017sf1
2017,sf1,7.0,Armenia,152.0,2017sf1
2017,sf1,8.0,Azerbaijan,150.0,2017sf1
2017,sf1,9.0,Poland,119.0,2017sf1
2017,sf1,10.0,Greece,115.0,2017sf1
2017,sf1,11.0,Georgia,99.0,2017sf1
2017,sf1,12.0,Finland,92.0,2017sf1
2017,sf1,13.0,Czechia,83.0,2017sf1
2017,sf1,14.0,Albania,76.0,2017sf1
2017,sf1,15.0,Iceland,60.0,2017sf1
2017,sf1,16.0,Montenegro,56.0,2017sf1
2017,sf1,17.0,Slovenia,36.0,2017sf1
2017,sf1,18.0,Latvia,21.0,2017sf1
2017,sf2,1.0,Bulgaria,403.0,2017sf2
2017,sf2,2.0,Hungary,231.0,2017sf2
2017,sf2,3.0,Israel,207.0,2017sf2
2017,sf2,4.0,The Netherlands,200.0,2017sf2
2017,sf2,5.0,Norway,189.0,2017sf2
2017,sf2,6.0,Romania,174.0,2017sf2
2017,sf2,7.0,Austria,147.0,2017sf2
2017,sf2,8.0,Latvia,132.0,2017sf2
2017,sf2,9.0,Belarus,110.0,2017sf2
2017,sf2,10.0,Denmark,101.0,2017sf2
2017,sf2,11.0,Serbia,98.0,2017sf2
2017,sf2,12.0,Switzerland,97.0,2017sf2
2017,sf2,13.0,North Macedonia,86.0,2017sf2
2017,sf2,14.0,Estonia,85.0,2017sf2
2017,sf2,15.0,Lithuania,69.0,2017sf2
2017,sf2,16.0,Malta,55.0,2017sf2
2017,sf2,17.0,Ireland,42.0,2017sf2
2017,sf2,18.0,San Marino,1.0,2017sf2
2017,f,1.0,Portugal,758.0,2017f
2017,f,2.0,Bulgaria,615.0,2017f
2017,f,3.0,Moldova,374.0,2017f
2017,f,4.0,Belgium,363.0,2017f
2017,f,5.0,Sweden,344.0,2017f
2017,f,6.0,Italy,334.0,2017f
2017,f,7.0,Romania,282.0,2017f
2017,f,8.0,Hungary,200.0,2017f
2017,f,9.0,Australia,173.0,2017f
2017,f,10.0,Norway,158.0,2017f
2017,f,11.0,The Netherlands,150.0,2017f
2017,f,12.0,France,135.0,2017f
2017,f,13.0,Croatia,128.0,2017f
2017,f,14.0,Azerbaijan,120.0,2017f
2017,f,15.0,United Kingdom,111.0,2017f
2017,f,16.0,Austria,93.0,2017f
2017,f,17.0,Armenia,79.0,2017f
2017,f,18.0,Denmark,77.0,2017f
2017,f,19.0,Greece,77.0,2017f
2017,f,20.0,Georgia,68.0,2017f
2017,f,21.0,Cyprus,68.0,2017f
2017,f,22.0,Poland,64.0,2017f
2017,f,23.0,Israel,39.0,2017f
2017,f,24.0,Ukraine,36.0,2017f
2017,f,25.0,Germany,6.0,2017f
2017,f,26.0,Spain,5.0,2017f
2018,sf1,1.0,Israel,283.0,2018sf1
2018,sf1,2.0,Cyprus,262.0,2018sf1
2018,sf1,3.0,Czechia,232.0,2018sf1
2018,sf1,4.0,Austria,231.0,2018sf1
2018,sf1,5.0,Estonia,201.0,2018sf1
2018,sf1,6.0,Ireland,179.0,2018sf1
2018,sf1,7.0,Bulgaria,177.0,2018sf1
2018,sf1,8.0,Albania,162.0,2018sf1
2018,sf1,9.0,Lithuania,119.0,2018sf1
2018,sf1,10.0,Finland,108.0,2018sf1
2018,sf1,11.0,Azerbaijan,94.0,2018sf1
2018,sf1,12.0,Belgium,91.0,2018sf1
2018,sf1,13.0,Switzerland,86.0,2018sf1
2018,sf1,14.0,Greece,81.0,2018sf1
2018,sf1,15.0,Armenia,79.0,2018sf1
2018,sf1,16.0,Belarus,65.0,2018sf1
2018,sf1,17.0,Croatia,63.0,2018sf1
2018,sf1,18.0,North Macedonia,24.0,2018sf1
2018,sf1,19.0,Iceland,15.0,2018sf1
2018,sf2,1.0,Norway,266.0,2018sf2
2018,sf2,2.0,Sweden,254.0,2018sf2
2018,sf2,3.0,Moldova,235.0,2018sf2
2018,sf2,4.0,Australia,212.0,2018sf2
2018,sf2,5.0,Denmark,204.0,2018sf2
2018,sf2,6.0,Ukraine,179.0,2018sf2
2018,sf2,7.0,The Netherlands,174.0,2018sf2
2018,sf2,8.0,Slovenia,132.0,2018sf2
2018,sf2,9.0,Serbia,117.0,2018sf2
2018,sf2,10.0,Hungary,111.0,2018sf2
