,Country,Year,Eurovision_World_Points_Scaled
0,Sweden,2015,1.0
1,Italy,2015,0.6654533421575116
2,Albania,2015,0.5764394440767704
3,Estonia,2015,0.49172733289212445
4,Belgium,2015,0.2928524156187955
5,Slovenia,2015,0.28358702845797484
6,Australia,2015,0.24321641297154203
7,Azerbaijan,2015,0.2346128391793514
8,Russia,2015,0.23196558570483125
9,Greece,2015,0.22733289212442093
10,Serbia,2015,0.21475843812045003
11,Spain,2015,0.21475843812045003
12,Netherlands,2015,0.20946393117140966
13,Israel,2015,0.18630046326935804
14,Armenia,2015,0.1598279285241562
15,Norway,2015,0.14228987425545997
16,Poland,2015,0.12177365982792852
17,United Kingdom,2015,0.12045003309066843
18,Romania,2015,0.10721376571806751
19,Georgia,2015,0.10589013898080742
20,Lithuania,2015,0.10555923229649239
21,Finland,2015,0.1015883520847121
22,Latvia,2015,0.09596293845135671
23,Iceland,2015,0.06452680344142951
24,Denmark,2015,0.060225016545334215
25,FYR Macedonia,2015,0.057246856386499005
26,Hungary,2015,0.057246856386499005
27,Germany,2015,0.056915949702183985
28,Portugal,2015,0.05658504301786896
29,Ireland,2015,0.048312375909993384
30,Malta,2015,0.04632693580410324
31,France,2015,0.03176704169424222
32,Austria,2015,0.02382528127068167
33,Cyprus,2015,0.022832561217736597
34,Montenegro,2015,0.018199867637326273
35,Czech Republic,2015,0.01257445400397088
36,Switzerland,2015,0.011912640635340834
37,Belarus,2015,0.009265387160820648
38,Moldova,2015,0.0066181336863004635
39,San Marino,2015,0.0
40,Russia,2016,1.0
41,Ukraine,2016,0.9693489447386084
42,France,2016,0.5278544261317025
43,The Netherlands,2016,0.371690655529868
44,Australia,2016,0.3534939219926915
45,Malta,2016,0.2737713476023566
46,Poland,2016,0.2660153628160191
47,Croatia,2016,0.2334998881348348
48,Sweden,2016,0.224774405250205
49,Armenia,2016,0.2203743754194943
50,Spain,2016,0.2145573868297412
51,Lithuania,2016,0.1562383473786263
52,Serbia,2016,0.1543739279588336
53,Hungary,2016,0.1507196658960399
54,Bulgaria,2016,0.1347602356626146
55,Cyprus,2016,0.1255872921172346
56,Belgium,2016,0.117607577000522
57,United Kingdom,2016,0.1160414646878961
58,Ireland,2016,0.1050041017227235
59,Israel,2016,0.0951599671862182
60,Latvia,2016,0.0865090610783801
61,Italy,2016,0.082481915131628
62,Austria,2016,0.0795734208367514
63,Germany,2016,0.0714445521664553
64,Azerbaijan,2016,0.0698784398538295
65,Greece,2016,0.0623461853978671
66,Norway,2016,0.0605563427548661
67,Denmark,2016,0.0416884182265642
68,Albania,2016,0.0316205533596837
69,Czech Republic,2016,0.0286374822880155
70,Bosnia and Herzegovina,2016,0.0283391751808486
71,Iceland,2016,0.0272951003057647
72,Estonia,2016,0.024684913118055
73,Finland,2016,0.0235662614661794
74,North Macedonia,2016,0.016779774778134
75,Georgia,2016,0.0162577373405921
76,Slovenia,2016,0.0162577373405921
77,Switzerland,2016,0.0117831307330897
78,Belarus,2016,0.0114848236259228
79,San Marino,2016,0.0072339473487955
80,Moldova,2016,0.0052949511522112
81,Montenegro,2016,0.0
82,Italy,2017,0.6680325845470254
83,Belgium,2017,0.3777832633917551
84,Sweden,2017,0.230708467045174
85,France,2017,0.1249568007899284
86,Estonia,2017,0.0517896815601086
87,Portugal,2017,1.0
88,Bulgaria,2017,0.3709207603060973
89,North Macedonia,2017,0.0659096519377931
90,Israel,2017,0.1077264872870896
91,Finland,2017,0.0439397679585287
92,Denmark,2017,0.0762280918291779
93,Switzerland,2017,0.0216242902986916
94,Hungary,2017,0.1379906196000987
95,Australia,2017,0.0860528264626018
96,Azerbaijan,2017,0.0938533695383855
97,Norway,2017,0.0731671192298198
98,Romania,2017,0.1674154529745742
99,Montenegro,2017,0.0055294988891631
100,Belarus,2017,0.0340162922735127
101,Austria,2017,0.0338188101703283
102,Cyprus,2017,0.040138237472229
103,Latvia,2017,0.0222661071340409
104,United Kingdom,2017,0.1287583312762281
105,Iceland,2017,0.020834361885954
106,Armenia,2017,0.1219945692421624
107,Croatia,2017,0.1377437669711182
108,Greece,2017,0.1623302888175759
109,San Marino,2017,0.0031103431251542
110,Georgia,2017,0.0086892125401135
111,Ireland,2017,0.043594174277956
112,Poland,2017,0.1462354974080474
113,The Netherlands,2017,0.3513700320908418
114,Serbia,2017,0.0701555171562577
115,Czech Republic,2017,0.0
116,Albania,2017,0.0313996544063194
117,Germany,2017,0.048037521599605
118,Lithuania,2017,0.0402863490496173
119,Malta,2017,0.0185633176993334
120,Moldova,2017,0.1083189335966428
121,Slovenia,2017,0.0083436188595408
122,Spain,2017,0.0346087385830659
123,Ukraine,2017,0.076771167612935
124,Israel,2018,1.0
125,Belarus,2018,0.0469296055916125
126,Spain,2018,0.20099850224663
127,Albania,2018,0.0801797304043934
128,Greece,2018,0.3052421367948078
129,Cyprus,2018,0.6391912131802296
130,Ukraine,2018,0.1606590114827758
131,Portugal,2018,0.2998002995506739
132,France,2018,0.2539191213180229
133,Bulgaria,2018,0.2476285571642536
134,Estonia,2018,0.2867698452321517
135,Belgium,2018,0.1132800798801797
136,Finland,2018,0.1278582126809785
137,Italy,2018,0.1227658512231652
138,Czech Republic,2018,0.1292561158262606
139,Sweden,2018,0.1260109835247129
140,Lithuania,2018,0.2496754867698452
141,Poland,2018,0.1559660509236145
142,The Netherlands,2018,0.1959560659011482
143,North Macedonia,2018,0.0208187718422366
144,Australia,2018,0.0869695456814777
145,Norway,2018,0.2053419870194708
146,Denmark,2018,0.119570644033949
147,Ireland,2018,0.0850723914128806
148,Germany,2018,0.0672990514228657
149,Austria,2018,0.045581627558662
150,Hungary,2018,0.0904643035446829
151,Armenia,2018,0.0239141288067898
152,United Kingdom,2018,0.0601098352471293
153,Malta,2018,0.0170244633050424
