Country,Voting_Cluster
The Netherlands,1
Australia,1
Poland,1
Ireland,0
France,0
Ukraine,1
Israel,0
Sweden,0
Portugal,0
United Kingdom,0
Russia,1
Switzerland,0
Czechia,1
Turkey,0
Spain,0
Latvia,1
Armenia,1
Germany,0
Norway,0
Greece,0
Denmark,0
Italy,0
Iceland,0
Austria,0
Bulgaria,1
Estonia,1
Hungary,1
Lithuania,1
Romania,1
Cyprus,0
Serbia,1
Finland,0
Luxembourg,0
Yugoslavia,0
San Marino,1
Georgia,1
Moldova,1
Monaco,0
Malta,0
Albania,1
Slovenia,1
Azerbaijan,1
Slovakia,0
Bosnia & Herzegovina,1
Croatia,1
Belarus,1
North Macedonia,1
Montenegro,1
0,0
Andorra,0
Serbia & Montenegro,0
Belgium,0
Morocco,0
